id,score
A000579,93
A000580,87
A000581,47.2
A000582,98.3
A000583,72.9
A000584,79.6
A000585,81.5
A000586,79.4
A000587,85.1
A000588,65.6
A000589,54.5
A000590,83.7
A000591,98.4
A000592,70
A000593,87.3
A000594,86.6
A000595,84.9
A000596,70.4
A000597,95.5
A000598,99.3
A000599,90.6
A000600,76.1
A000601,92.7
A000602,89.4
A000603,96.5
A000604,82.2
A000605,77.7
A000606,80.3
A000607,42.5
A000608,94.1
A000609,87.9
A000610,92.2
A000611,93.1
A000612,93.7
A000613,72.4
A000614,70.1
A000615,76.9
A000616,74.3
A000617,79.7
A000618,78.8
A000619,94.8
A000620,99.3
A000621,93.7
A000622,74.2
A000623,88.1
A000624,89.1
A000625,90.1
A000626,97.8
A000627,85.4
A000628,70
A000629,76.9
A000630,82.4
A000631,78.1
A000632,75.2
A000633,74.2
A000634,70.3
A000635,91.2
A000636,95.1
A000637,98.3
A000638,85.8
A000639,89.5
A000640,40.5
A000641,50.3
A000642,47.9
A000643,89
A000644,76.3
A000645,83.4
A000646,91.6
A000647,57.8
A000648,90.8
A000649,76.2
A000650,98.1
A000651,86.6
A000652,70.9
A000653,93
A000654,82.9
A000655,86.4
A000656,77.4
A000657,91.8
A000658,85
A000659,91.6
A000660,70.1
A000661,95.6
A000662,94.9
A000663,87.3
A000664,79.7
A000665,79.6
A000666,78.6
A000667,85.3
A000668,88.9
A000669,86
A000670,94.3
A000671,97.5
A000672,42.8
A000673,85.6
A000674,54
A000675,90.1
A000676,89.1
A000677,62.7
A000678,55.7
A000679,86.4
A000680,87.9
A000681,82.6
A000682,89.9
A000683,86.9
A000684,79.7
A000685,83.4
A000686,90.5
A000687,87.9
A000688,75.3
A000689,85.8
A000690,97.4
A000691,77.1
A000692,87.6
A000693,72
A000694,94.9
A000695,82.8
A000696,80.9
A000697,91.8
A000698,89.9
A000699,90.6
A000700,89.6
A000701,83.3
A000702,41.7
A000703,76.3
A000704,76
A000705,92.4
A000706,72.2
A000707,99.1
A000708,74.5
A000709,74.7
A000710,80.9
A000711,72.1
A000712,94.1
A000713,71.7
A000714,99.2
A000715,47.7
A000716,87.7
A000717,79.1
A000718,78.1
A000719,73
A000720,93.9
A000721,72.8
A000722,72.7
A000723,88.9
A000724,82.1
A000725,80.1
A000726,78.6
A000727,97.8
A000728,85.8
A000729,83.2
A000730,75.1
A000731,79.8
A000732,73.3
A000733,81.2
A000734,70.2
A000735,80.9
A000736,59.4
A000737,74.7
A000738,77.7
A000739,92.1
A000740,81.7
A000741,59.3
A000742,88.7
A000743,75
A000744,79.1
A000745,61.5
A000746,81.8
A000747,75.3
A000748,89.3
A000749,72.7
A000750,81.3
A000751,98.7
A000752,97.6
A000753,53.4
A000754,76
A000755,96.6
A000756,71.7
A000757,52.7
A000758,79
A000759,54.5
A000760,99.1
A000761,81.4
A000762,74.1
A000763,84.1
A000764,69.5
A000765,71.6
A000766,76.1
A000767,84.2
A000768,79.5
A000769,94.3
A000770,73.4
A000771,73.1
A000772,92.9
A000773,94.5
A000774,79.4
A000775,89.2
A000776,87.6
A000777,75.5
A000778,75.1
A000779,88.8
A000780,86.9
A000781,90.1
A000782,88.9
A000783,94.5
A000784,85
A000785,87.2
A000786,71.3
A000787,96.5
A000788,76
A000789,80.6
A000790,70.8
A000791,71.1
A000792,82.9
A000793,70.9
A000794,73
A000795,44.5
A000796,70.5
A000797,63.8
A000798,95.5
A000799,71.8
A000800,72.1
A000801,88.6
A000802,78
A000803,81.7
A000804,76
A000805,71
A000806,77.8
A000807,44.3
A000808,81.5
A000809,95.5
A000810,96.7
A000811,97
A000812,59
A000813,90.5
A000814,94.7
A000815,77.2
A000816,88.4
A000817,78.4
A000818,42.6
A000819,73.7
A000820,95.2
A000821,80.8
A000822,72.7
A000823,83.8
A000824,96
A000825,75.2
A000826,97.7
A000827,95.5
A000828,50
A000829,95.8
A000830,87.2
A000831,82.3
A000832,88.8
A000833,65.2
A000834,77.8
A000835,75.6
A000836,69.5
A000837,75.8
A000838,63.9
A000839,90
A000840,89.7
A000841,98.1
A000842,84
A000843,79
A000844,99.1
A000845,73.1
A000846,98.7
A000847,95.3
A000848,67.8
A000849,67.3
A000850,77.5
A000851,89.1
A000852,78
A000853,95
A000854,98.5
A000855,84.8
A000856,88.3
A000857,93.4
A000858,72.2
A000859,70.8
A000860,83.3
A000861,67.9
A000862,78.9
A000863,88.7
A000864,76
A000865,72.5
A000866,78.1
A000867,95
A000868,96.3
A000869,93.6
A000870,87.1
A000871,78.7
A000872,94.4
A000873,71.3
A000874,90.9
A000875,86.7
A000876,79.9
A000877,94
A000878,55.3
A000879,83
A000880,99.5
A000881,60.7
A000882,85.1
A000883,76.6
A000884,51.8
A000885,90.5
A000886,82.4
A000887,82.1
A000888,70.1
A000889,75.4
A000890,81
A000891,97.9
A000892,90.6
A000893,77.7
A000894,72.1
A000895,96.2
A000896,95.6
A000897,68.2
A000898,95
A000899,76.8
A000900,97.7
A000901,96.9
A000902,40.3
A000903,80.6
A000904,70.2
A000905,75.2
A000906,45.7
A000907,79.5
A000908,77.5
A000909,78.4
A000910,87.1
A000911,99.1
A000912,70.2
A000913,71.8
A000914,63.8
A000915,50.8
A000916,99.4
A000917,81.6
A000918,81.1
A000919,97.3
A000920,95.5
A000921,87.6
A000922,90.3
A000923,78.7
A000924,84.8
A000925,88.7
A000926,49.6
A000927,62
A000928,91.1
A000929,76.9
A000930,98
A000931,92.7
A000932,75.7
A000933,54.5
A000934,97.2
A000935,78.9
A000936,74.1
A000937,86.2
A000938,75.4
A000939,71.3
A000940,72.8
A000941,84.8
A000942,95.1
A000943,92.5
A000944,95.6
A000945,99.2
A000946,94.5
A000947,99.9
A000948,79.1
A000949,85.6
A000950,86.6
A000951,89.5
A000952,72.4
A000953,86.3
A000954,92.6
A000955,52.9
A000956,85
A000957,75.2
A000958,92.5
A000959,73.1
A000960,59.2
A000961,77.1
A000962,77.3
A000963,98.2
A000964,95.3
A000965,70.7
A000966,80.9
A000967,77.3
A000968,92.5
A000969,77.3
A000970,58.1
A000971,87.9
A000972,75.4
A000973,69.4
A000974,73.9
A000975,94
A000976,90.4
A000977,95.6
A000978,98.5
A000979,94.6
A000980,73.7
A000981,95.5
A000982,89.8
A000983,78.9
A000984,71.2
A000985,77.7
A000986,78.5
A000987,92
A000988,93.9
A000989,73.9
A000990,92.9
A000991,84.8
A000992,77.3
A000993,93.6
A000994,75.5
A000995,67.2
A000996,84
A000997,98
A000998,94.3
A000999,66.9
A001000,80.2
A001001,71
A001002,76.7
A001003,90.4
A001004,82.8
A001005,76.5
A001006,71.1
A001007,79.9
A001008,96.4
A001009,75.9
A001010,79.4
A001011,97.3
A001012,95.4
A001013,72.5
A001014,99.6
A001015,57.6
A001016,96.4
A001017,55.4
A001018,80.4
A001019,60.2
A001020,78.1
A001021,80.2
A001022,80.5
A001023,94.4
A001024,82.3
A001025,95.2
A001026,70.1
A001027,76.2
A001028,72.4
A001029,72.5
A001030,62.9
A001031,75.7
A001032,81.8
A001033,80.5
A001034,58.6
A001035,97.8
A001036,77
A001037,96.7
A001038,77.4
A001039,72.8
A001040,74.4
A001041,76.3
A001042,95
A001043,49.3
A001044,90.3
A001045,72.5
A001046,76.2
A001047,99.4
A001048,74.3
A001049,89
A001050,89.8
A001051,71
A001052,87.5
A001053,81.8
A001054,95.2
A001055,96.4
A001056,77.6
A001057,85
A001058,70.1
A001059,75.5
A001060,65.4
A001061,88.7
A001062,85.2
A001063,96.5
A001064,70.5
A001065,98.4
A001066,78.5
A001067,75.1
A001068,89.7
A001069,80.6
A001070,72.3
A001071,74.7
A001072,87.9
A001073,78.7
A001074,92.4
A001075,81.8
A001076,43.4
A001077,87
A001078,58.5
A001079,78.1
A001080,70.3
A001081,96.4
A001082,87.1
A001083,74.6
A001084,99.5
A001085,76.4
A001086,80.4
A001087,99.9
A001088,73.1
A001089,97.3
A001090,98.5
A001091,83
A001092,77.7
A001093,88.6
A001094,78.5
A001095,97.2
A001096,97.8
A001097,91.9
A001098,99.1
A001099,78.8
A001100,77.8
A001101,76.2
A001102,81
A001103,96.4
A001104,92.5
A001105,55.4
A001106,90.3
A001107,81.9
A001108,93.5
A001109,91.1
A001110,84.2
A001111,86.2
A001112,96.1
A001113,76.8
A001114,80.7
A001115,94.5
A001116,73.8
A001117,89.1
A001118,84.2
A001119,41.5
A001120,60
A001121,90.8
A001122,96.5
A001123,80.8
A001124,75.4
A001125,41.1
A001126,82.8
A001127,87.4
A001128,97
A001129,89.2
A001130,93.2
A001131,82.6
A001132,71.4
A001133,81.9
A001134,93.5
A001135,79.3
A001136,94.2
A001137,78.9
A001138,55.3
A001139,73.7
A001140,75.9
A001141,99.2
A001142,98.1
A001143,77.5
A001144,73.6
A001145,81.4
A001146,93.8
A001147,97.8
A001148,87.8
A001149,93.2
A001150,96.2
A001151,71.8
A001152,98.8
A001153,95.3
A001154,85.3
A001155,95.9
A001156,90.1
A001157,92.1
A001158,91.8
A001159,86.8
A001160,82
A001161,96.1
A001162,97.3
A001163,96
A001164,83.2
A001165,84.8
A001166,97
A001167,92.7
A001168,96.5
A001169,93.9
A001170,88.6
A001171,84.1
A001172,95.5
A001173,89.2
A001174,72.8
A001175,86.3
A001176,79.1
A001177,75.9
A001178,72.3
A001179,81.9
A001180,81.6
A001181,72.8
A001182,85.6
A001183,98.2
A001184,85
A001185,73.5
A001186,99.1
A001187,87.6
A001188,95.6
A001189,92.6
A001190,79.2
A001191,92.3
A001192,79.4
A001193,88.2
A001194,99.1
A001195,83.9
A001196,74.8
A001197,91.1
A001198,98.1
A001199,99.1
A001200,84.5
A001201,82.9
A001202,99.2
A001203,83.1
A001204,93.1
A001205,87.8
A001206,78
A001207,78.5
A001208,91.9
A001209,81
A001210,97.7
A001211,71.6
A001212,80.4
A001213,71.6
A001214,58.9
A001215,83.4
A001216,73.6
A001217,76.8
A001218,70.1
A001219,61.5
A001220,84.9
A001221,49.8
A001222,50.9
A001223,80
A001224,82.7
A001225,73
A001226,94.1
A001227,76.8
A001228,82.8
A001229,92.9
A001230,78.9
A001231,90.8
A001232,70
A001233,74.1
A001234,74.7
A001235,89.2
A001236,99.9
A001237,97.2
A001238,92.1
A001239,79.5
A001240,78.4
A001241,95.7
A001242,76.4
A001243,76.3
A001244,96.8
A001245,76.5
A001246,87.6
A001247,96.1
A001248,79.7
A001249,42
A001250,97.5
A001251,97.3
A001252,80.6
A001253,95.6
A001254,68.2
A001255,82.8
A001256,98
A001257,94.2
A001258,80.5
A001259,75.6
A001260,93.5
A001261,73.2
A001262,99.8
A001263,79.2
A001264,86.3
A001265,81.6
A001266,97.7
A001267,93.6
A001268,74.4
A001269,71.2
A001270,80
A001271,55.7
A001272,98.4
A001273,89.2
A001274,72.7
A001275,91.3
A001276,72.9
A001277,60.5
A001278,94.2
A001279,47.2
A001280,70.7
A001281,80.1
A001282,89.4
A001283,93.9
A001284,55.7
A001285,81.1
A001286,84.7
A001287,99.5
A001288,86.5
A001289,96.5
A001290,88.1
A001291,93.3
A001292,89.6
A001293,70.2
A001294,98.2
A001295,79.8
A001296,70.5
A001297,93.1
A001298,68.5
A001299,75.1
A001300,77.6
A001301,60.2
A001302,71.1
A001303,94.9
A001304,71.7
A001305,97.5
A001306,97.5
A001307,71.4
A001308,70.8
A001309,40.7
A001310,72.9
A001311,78.2
A001312,74
A001313,93.6
A001314,71.1
A001315,89.8
A001316,93.4
A001317,95
A001318,96.9
A001319,82.8
A001320,98.4
A001321,81.8
A001322,80.2
A001323,80.6
A001324,83.2
A001325,58.2
A001326,74.6
A001327,71.5
A001328,81.4
A001329,79.7
A001330,89.2
A001331,89.2
A001332,81.6
A001333,80
A001334,71
A001335,95.1
A001336,90.6
A001337,72.7
A001338,91.3
A001339,70.4
A001340,81.1
A001341,82.5
A001342,82.2
A001343,74.8
A001344,95.7
A001345,82.1
A001346,95.1
A001347,85.9
A001348,94.8
A001349,73.3
A001350,94.6
A001351,71.2
A001352,51
A001353,73.3
A001354,72.2
A001355,66.1
A001356,96.1
A001357,94.8
A001358,70.7
A001359,79.1
A001360,75.2
A001361,93.8
A001362,91.3
A001363,83.2
A001364,71.2
A001365,81.6
A001366,83.2
A001367,54.7
A001368,76.3
A001369,83.8
A001370,79.3
A001371,75.6
A001372,84.2
A001373,55.3
A001374,93.7
A001375,40.1
A001376,78.9
A001377,70.1
A001378,70.3
A001379,76.9
A001380,89.9
A001381,77.1
A001382,91.5
A001383,89
A001384,45.9
A001385,84.2
A001386,97.1
A001387,70.1
A001388,76
A001389,87.5
A001390,99.8
A001391,96.6
A001392,69
A001393,78.1
A001394,91.5
A001395,96
A001396,77.6
A001397,70.8
A001398,93.8
A001399,76.1
A001400,93.4
A001401,94.5
A001402,99.4
A001403,75.8
A001404,77.3
A001405,89.9
A001406,87
A001407,79.8
A001408,85.1
A001409,77.9
A001410,92
A001411,73.8
A001412,73.7
A001413,73.8
A001414,57.4
A001415,77.2
A001416,56.9
A001417,99.2
A001418,96.5
A001419,80.4
A001420,91.8
A001421,74.6
A001422,79.9
A001423,89.6
A001424,92
A001425,75
A001426,79.1
A001427,70.6
A001428,85.2
A001429,71.9
A001430,70
A001431,93.7
A001432,74.5
A001433,85.2
A001434,71.9
A001435,83.1
A001436,51
A001437,87.3
A001438,47.7
A001439,72.4
A001440,72.4
A001441,75.2
A001442,63.3
A001443,94.5
A001444,93.5
A001445,91.5
A001446,99.7
A001447,45.1
A001448,77.5
A001449,95.7
A001450,71.3
A001451,75.8
A001452,76.8
A001453,88.1
A001454,91.3
A001455,85.2
A001456,87.5
A001457,98.5
A001458,85.9
A001459,59.1
A001460,49.6
A001461,98.7
A001462,89.8
A001463,82.7
A001464,77.3
A001465,99.1
A001466,77.5
A001467,88.7
A001468,78.8
A001469,83.8
A001470,85.2
A001471,75
A001472,83.6
A001473,85
A001474,92.8
A001475,70.1
A001476,83
A001477,83.6
A001478,96.4
A001479,71.8
A001480,97.3
A001481,84.9
A001482,83.6
A001483,83.7
A001484,99.4
A001485,96.5
A001486,72.8
A001487,90.8
A001488,83.5
A001489,77.7
A001490,98.3
A001491,98.5
A001492,63.7
A001493,79.6
A001494,81.5
A001495,87.8
A001496,83.9
A001497,75
A001498,96.3
A001499,82.1
A001500,85.2
A001501,81.8
A001502,86.9
A001503,74.1
A001504,94.2
A001505,97.4
A001506,80.5
A001507,99.7
A001508,94.4
A001509,76.7
A001510,70.3
A001511,96.7
A001512,76.6
A001513,78.2
A001514,69.2
A001515,77.8
A001516,93
A001517,49.7
A001518,79.5
A001519,93.3
A001520,70.2
A001521,70.5
A001522,70.6
A001523,91.1
A001524,82.5
A001525,97.6
A001526,67.4
A001527,95.9
A001528,81.9
A001529,82.1
A001530,71.8
A001531,87.5
A001532,72.7
A001533,77
A001534,99.5
A001535,83.9
A001536,92.8
A001537,80.8
A001538,91.2
A001539,84.9
A001540,87
A001541,84
A001542,82.2
A001543,80.5
A001544,60.3
A001545,70.4
A001546,76.9
A001547,78
A001548,72.9
A001549,97.6
A001550,72.5
A001551,91.3
A001552,70.7
A001553,70.9
A001554,84.9
A001555,91.5
A001556,65.6
A001557,88.6
A001558,96.4
A001559,71.4
A001560,84.6
A001561,72.3
A001562,58.1
A001563,94.1
A001564,93
A001565,97.2
A001566,76.4
A001567,85
A001568,76.8
A001569,49.8
A001570,80.8
A001571,91.8
A001572,90.8
A001573,87.3
A001574,92
A001575,95.7
A001576,84.4
A001577,78.1
A001578,86.8
A001579,79
A001580,50.6
A001581,84.5
A001582,93.6
A001583,96.1
A001584,98.3
A001585,78.2
A001586,89.1
A001587,87.2
A001588,80.1
A001589,72.5
A001590,74.8
A001591,65
A001592,92.9
A001593,92
A001594,99.4
A001595,72.2
A001596,75.7
A001597,72.8
A001598,98.5
A001599,84.6
A001600,72.3
A001601,77.7
A001602,99.3
A001603,56.8
A001604,82.2
A001605,94.8
A001606,94.5
A001607,92
A001608,82.8
A001609,77.2
A001610,75.9
A001611,86.2
A001612,52.6
A001613,86.8
A001614,97.8
A001615,74.3
A001616,56.5
A001617,95.7
A001618,80.4
A001619,75.4
A001620,85.8
A001621,81.7
A001622,88.6
A001623,94.1
A001624,83.2
A001625,98.6
A001626,70.4
A001627,73.6
A001628,80.5
A001629,55.6
A001630,78.8
A001631,90
A001632,85
A001633,73
A001634,71.7
A001635,77.2
A001636,55.2
A001637,71
A001638,73.4
A001639,91.5
A001640,85.7
A001641,80.1
A001642,81.1
A001643,55.6
A001644,85.5
A001645,96.2
A001646,93.5
A001647,88.2
A001648,80.3
A001649,70.8
A001650,84.5
A001651,97.9
A001652,79.2
A001653,90.7
A001654,77.3
A001655,99.2
A001656,87.2
A001657,82.5
A001658,89.6
A001659,61.8
A001660,75.9
A001661,79.9
A001662,41.6
A001663,78.2
A001664,88.6
A001665,78.2
A001666,92.9
A001667,71.2
A001668,79.2
A001669,72.4
A001670,95.4
A001671,60.3
A001672,99.7
A001673,99.1
A001674,84.6
A001675,99.4
A001676,74.2
A001677,84.4
A001678,84.8
A001679,92
A001680,97.9
A001681,84
A001682,96
A001683,52
A001684,48.5
A001685,97
A001686,87.6
A001687,79.5
A001688,99.5
A001689,94.6
A001690,81.2
A001691,71.9
A001692,79.9
A001693,70.1
A001694,82.3
A001695,87.7
A001696,84.3
A001697,96.7
A001698,72.7
A001699,96.7
A001700,84.6
A001701,96.6
A001702,66.6
A001703,45
A001704,98.6
A001705,79.9
A001706,85.2
A001707,94.8
A001708,77.2
A001709,54.5
A001710,70.6
A001711,97.8
A001712,77.5
A001713,83
A001714,92.5
A001715,99.8
A001716,89.9
A001717,86.6
A001718,80.8
A001719,63.2
A001720,77.8
A001721,85.6
A001722,88
A001723,89.8
A001724,68.4
A001725,76.9
A001726,87.2
A001727,83.5
A001728,89.6
A001729,96
A001730,73.6
A001731,83.8
A001732,87
A001733,80.8
A001734,87
A001735,99.9
A001736,76
A001737,96.2
A001738,82.9
A001739,73
A001740,96.6
A001741,76.5
A001742,75.4
A001743,82.8
A001744,87
A001745,85.5
A001746,92.6
A001747,73.2
A001748,73.9
A001749,76.7
A001750,96.8
A001751,77.3
A001752,90.4
A001753,94.8
A001754,92.4
A001755,78.6
A001756,78.7
A001757,71.1
A001758,90.3
A001759,72.1
A001760,46.3
A001761,81
A001762,83.4
A001763,78.4
A001764,59.5
A001765,97
A001766,76.8
A001767,72.6
A001768,95.9
A001769,83.1
A001770,85.2
A001771,55.5
A001772,79.1
A001773,97
A001774,71
A001775,94.1
A001776,82.4
A001777,73.5
A001778,84.5
A001779,51.9
A001780,83.1
A001781,72.7
A001782,91.7
A001783,46.5
A001784,71.5
A001785,46.2
A001786,78.7
A001787,91.3
A001788,40.1
A001789,49.7
A001790,98.6
A001791,94.8
A001792,97.9
